control_point,x_image,y_image,longitude,latitude,original_toponym,present_toponym,map,mapwarper_link,image_link
1,916.69,836.9975,35.92529297,33.57801475,الشام,"Damascus, Syria",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
2,1016.233793,824.0425446,31.42089844,29.99300228,مصر ,"Cairo, Egypt",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
3,1017.2875,729.825,31.9921875,26.39186967,الصعيد,"Said, Upper Egypt",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
4,817.4075,884.3375,43.92333984,33.1007454,العراق,Iraq,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
5,897.1606564,705.3269854,39.28710937,21.58593511,الحجاز,"Hijaz, Saudi Arabia",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
6,791.1075,715.36,52.66845703,23.60426185,عمان,Oman,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
7,807.0512561,658.1268233,51.89941406,15.92963824,اليمن ,Yemen,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
8,776.6425,825.82,51.13037109,30.33495388,فارس,Persia,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
9,1138.882699,1112.964749,12.35961914,45.32511664,البنادقه,"Venice, Italy",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
10,1343.4075,1024.385,-5.80078125,35.75988605,طنجه,"Tangiers, Morocco",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
11,1104.0775,854.75,20.22583008,31.9102046,صحاري برنيق,"Benghazi, Libya",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
12,1098.8175,1177.5825,2.779541016,46.36019757,الفرنسيه,France,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
13,393.9775,821.2175,116.7736816,33.19043248,الصين,China,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
14,559.6675,756.7825,78.36547851,27.3498134,الهند,India,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
15,654.3475,843.5725,60.8203125,35.52104976,خراسان,"Khorasan, Iran",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
16,984.4125,1177.5825,10.40405273,52.36721468,المانية,Germany,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
17,752.9725,1139.4475,24.94995117,42.5429631,بلغار,Bulgaria,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
18,780.5875,678.7591683,49.61273394,14.77246141,الشحر,"Shihr, Yemen",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
19,873.130625,659.1985584,44.00284014,15.18990143,تهامه,"Tihama, Saudi Arabia",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
20,1027.643125,1057.716596,21.8763753,39.9536825,مقدونيه,Macedonia,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
21,1254.480625,946.0146539,8.077547174,36.8180301,إفريقية,Barbary Coast,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
22,742.288125,789.4565961,57.08755694,30.29063982,كرمان,"Kurman, Iran",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
23,754.123125,930.1615961,49.26529131,40.4998296,أذبيجان,Azerbaijan,Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
24,1151.253125,1055.744096,16.59195147,39.2596201,قلورية,"Calabria, Italy",Al-Idrisi,"<a href=""https://mapwarper.net/maps/41888"" target=""_blank"">View in MapWarper</a>","<a href=""https://digital.bodleian.ox.ac.uk/inquire/Discover/Search/#/?p=c+0,t+,rsrs+0,rsps+10,fa+,so+ox%3Asort%5Easc,scids+,pid+ced0d8bd-1019-4af2-9086-e411115f1507,vi+cc2debab-70f5-4b82-9bab-7235fdb89e43"" target=""_blank"">View image</a>"
1,354.6442773,2187.451669,-7.734375,53.37167684,Hibernia,Ireland,Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
2,431.3092773,2086.744784,-4.460449219,54.2038664,[unlabelled],"Isle of Man, UK",Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
3,1000.244277,1876.196266,12.52441406,41.87501436,Roma,"Rome, Italy",Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
4,812.6167773,1794.37543,10.96435547,45.40144964,Uerona,"Verona, Italy",Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
5,1347.254277,1843.131667,10.32028198,36.85606017,Cartago,"Carthage, Tunisia",Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
6,948.2936523,1206.610409,22.37368673,40.08959379,Mons Olympus,"Mount Olympus, Greece",Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
7,1364.968972,1256.337489,35.23266882,31.77850271,Hierusalem,Jerusalem,Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
8,1523.342722,1389.940836,29.89056677,31.20796578,Alexandria,"Alexandria, Egypt",Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
9,1225.495,1044.616668,35.41418597,32.29351424,Galilea,Galilee,Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
10,694.8925,548.199597,45.00525042,33.75396465,Mesopotamia,Mesopotamia,Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
11,687.83125,901.262097,36.17224261,36.23756266,Antiochia,"Antakya, Turkey",Cotton Anglo Saxon,"<a href=""https://mapwarper.net/maps/35510"" target=""_blank"">View in MapWarper</a>","<a href=""https://www.bl.uk/collection-items/anglo-saxon-world-map"" target=""_blank"">View image</a>"
